Date,Open,High,Low,Close,Adj Close,Volume
2013-06-27,461.500000,473.950012,461.500000,467.125000,417.077332,244818
2013-06-28,468.750000,485.750000,468.750000,483.274994,431.496979,286362
2013-07-01,484.500000,493.274994,475.700012,491.200012,438.572937,269024
2013-07-02,489.975006,496.250000,485.524994,489.950012,437.456909,172596
2013-07-03,485.500000,491.149994,482.000000,489.024994,436.630981,109636
2013-07-04,492.500000,494.000000,486.750000,490.850006,438.260468,95554
2013-07-05,493.500000,494.500000,482.774994,483.975006,432.122009,141610
2013-07-08,483.000000,483.000000,471.625000,473.850006,423.081848,96786
2013-07-09,475.450012,479.700012,466.000000,468.250000,418.081787,171854
2013-07-10,471.000000,473.875000,454.000000,455.950012,407.099640,248946
2013-07-11,461.524994,464.500000,458.000000,459.125000,409.934448,199948
2013-07-12,460.299988,462.000000,447.799988,452.799988,404.287109,244396
2013-07-15,450.500000,489.500000,450.500000,463.950012,414.242462,274246
2013-07-16,460.000000,461.575012,453.049988,456.500000,407.590698,173208
2013-07-17,460.000000,467.500000,438.500000,446.325012,398.505859,347704
2013-07-18,446.000000,446.000000,431.399994,437.924988,402.272003,337486
2013-07-19,440.500000,449.450012,435.049988,439.225006,403.466217,262086
2013-07-22,440.950012,452.475006,437.575012,450.774994,414.075867,151070
2013-07-23,456.000000,462.500000,449.500000,460.299988,422.825409,158102
2013-07-24,460.000000,460.000000,441.500000,446.774994,410.401550,137976
2013-07-25,446.500000,453.500000,437.750000,440.049988,404.224030,134142
2013-07-26,444.500000,447.950012,440.100006,446.774994,410.401550,96108
2013-07-29,446.000000,452.000000,432.000000,448.825012,412.284668,205996
2013-07-30,449.000000,452.399994,445.500000,448.475006,411.963165,80790
2013-07-31,448.000000,458.500000,445.500000,456.075012,418.944397,5391186
2013-08-01,459.375000,461.250000,432.500000,435.899994,400.411896,410708
2013-08-02,436.500000,436.500000,425.000000,427.549988,392.741699,133342
2013-08-05,427.500000,439.500000,427.500000,432.399994,397.196838,93288
2013-08-06,432.000000,433.674988,424.500000,427.424988,392.626892,89598
2013-08-07,427.549988,428.850006,419.100006,421.649994,387.322021,214500
2013-08-08,424.500000,435.000000,422.500000,431.875000,396.714630,1202190
2013-08-12,434.500000,437.250000,427.600006,430.075012,395.061157,124074
2013-08-13,435.399994,448.924988,433.225006,435.450012,399.998535,589364
2013-08-14,436.875000,442.375000,432.000000,436.700012,401.146790,369548
2013-08-16,437.950012,437.950012,414.750000,420.024994,385.829376,621532
2013-08-19,427.000000,427.000000,394.000000,405.299988,372.303162,446066
2013-08-20,405.000000,405.000000,389.100006,395.649994,363.438782,289940
2013-08-21,402.000000,407.450012,387.674988,391.924988,360.017059,253264
2013-08-22,392.500000,400.875000,375.000000,397.625000,365.252991,348600
2013-08-23,398.750000,409.700012,393.000000,407.225006,374.071442,198664
2013-08-26,410.299988,411.000000,399.225006,404.299988,371.384583,219252
2013-08-27,402.450012,402.450012,392.000000,394.899994,362.749817,204262
2013-08-28,392.500000,392.825012,370.750000,388.450012,356.824982,288750
2013-08-29,390.250000,401.600006,383.424988,396.899994,364.587036,198714
2013-08-30,397.549988,400.325012,384.500000,390.500000,358.708069,458596
2013-09-02,387.024994,391.725006,377.750000,383.250000,352.048309,505690
2013-09-03,382.674988,387.500000,380.125000,384.575012,353.265472,527890
2013-09-04,386.500000,394.625000,381.899994,389.899994,358.156921,227694
2013-09-05,393.000000,398.950012,386.924988,388.350006,356.733124,387498
2013-09-06,391.000000,392.500000,374.500000,385.549988,354.161072,407566
2013-09-10,388.250000,409.875000,383.549988,406.450012,373.359558,382770
2013-09-11,407.000000,416.000000,403.250000,412.950012,379.330353,306210
2013-09-12,415.500000,417.399994,400.075012,406.600006,373.497314,599560
2013-09-13,402.500000,417.799988,402.500000,414.950012,381.167542,190994
2013-09-16,420.000000,431.549988,415.325012,418.375000,384.313660,258594
2013-09-17,421.000000,425.399994,413.549988,422.475006,388.079895,112480
2013-09-18,423.500000,424.450012,414.725006,421.049988,386.770874,131052
2013-09-19,428.000000,445.700012,428.000000,433.825012,398.505859,579594
2013-09-20,435.500000,441.250000,417.325012,436.299988,400.779327,282512
2013-09-23,434.899994,434.950012,426.250000,430.325012,395.290833,167272
2013-09-24,430.000000,441.500000,426.375000,436.274994,400.756378,185414
2013-09-25,438.524994,440.000000,417.350006,424.850006,390.261505,225004
2013-09-26,426.000000,432.450012,422.549988,426.024994,391.340820,137858
2013-09-27,427.500000,429.225006,420.000000,422.075012,387.712433,148354
2013-09-30,421.200012,422.075012,407.750000,413.899994,380.202942,322318
2013-10-01,416.500000,422.750000,411.125000,416.700012,382.775055,222400
2013-10-03,416.950012,430.200012,416.950012,425.625000,390.973450,194794
2013-10-04,425.899994,435.500000,425.500000,429.575012,394.601837,173134
2013-10-07,430.500000,435.000000,424.500000,431.325012,396.209412,222824
2013-10-08,435.000000,437.149994,427.750000,430.024994,395.015228,163438
2013-10-09,429.500000,429.500000,421.750000,425.774994,391.111206,160786
2013-10-10,425.500000,434.950012,425.500000,433.575012,398.276245,322796
2013-10-11,435.000000,443.725006,432.649994,436.100006,400.595612,297424
2013-10-14,436.250000,441.250000,431.100006,432.500000,397.288696,121426
2013-10-15,435.000000,440.875000,430.000000,433.700012,398.390991,170714
2013-10-17,435.000000,438.024994,431.000000,432.600006,397.380585,193484
2013-10-18,433.500000,443.500000,433.500000,439.174988,403.420288,173228
2013-10-21,439.000000,447.000000,437.500000,443.799988,407.668732,194520
2013-10-22,444.399994,447.500000,433.125000,438.350006,402.662415,152166
2013-10-23,436.000000,442.299988,430.500000,433.649994,398.345062,137610
2013-10-24,434.500000,446.600006,431.500000,444.899994,408.679169,210950
2013-10-25,440.649994,442.325012,432.450012,433.850006,398.528809,178236
2013-10-28,434.575012,441.375000,428.250000,433.799988,398.482849,121620
2013-10-29,434.000000,451.875000,431.375000,450.149994,413.501770,257122
2013-10-30,450.500000,454.000000,440.549988,448.524994,412.009033,219938
2013-10-31,448.500000,448.500000,438.674988,444.174988,408.013184,184248
2013-11-01,444.000000,464.000000,440.500000,462.475006,424.823364,597542
2013-11-05,460.000000,462.000000,451.549988,453.600006,416.670868,171146
2013-11-06,455.000000,455.850006,447.500000,449.250000,412.675049,212298
2013-11-07,450.000000,457.950012,446.975006,447.850006,411.389008,241788
2013-11-08,447.524994,449.250000,435.049988,439.524994,403.741791,145840
2013-11-11,439.000000,443.750000,430.125000,435.399994,399.952606,197314
2013-11-12,436.625000,442.000000,433.000000,439.625000,403.833618,203914
2013-11-13,442.000000,450.000000,437.500000,447.649994,411.205292,490316
2013-11-14,455.000000,464.500000,453.424988,462.674988,425.007050,320300
2013-11-18,463.524994,473.899994,463.524994,472.274994,433.825500,333760
2013-11-19,472.000000,475.500000,471.274994,472.799988,434.307739,193926
2013-11-20,473.000000,479.200012,467.975006,470.725006,432.401703,244622
2013-11-21,470.000000,473.750000,465.024994,466.575012,428.589569,117628
2013-11-22,468.750000,472.950012,464.950012,467.649994,429.577026,96766
2013-11-25,468.549988,473.200012,467.000000,471.350006,432.975800,172994
2013-11-26,471.299988,476.450012,469.524994,471.575012,433.182495,161822
2013-11-27,472.500000,473.600006,468.225006,470.625000,432.309845,76218
2013-11-28,472.500000,482.299988,472.500000,479.000000,440.002960,349428
2013-11-29,482.500000,482.500000,471.250000,472.799988,434.307739,131462
2013-12-02,469.000000,480.500000,466.174988,479.125000,440.117828,182718
2013-12-03,475.000000,479.950012,472.549988,475.100006,436.420532,87538
2013-12-04,475.000000,476.625000,470.024994,471.575012,433.182495,95480
2013-12-05,475.000000,479.850006,469.825012,472.325012,433.871460,131388
2013-12-06,473.500000,478.500000,471.500000,472.875000,434.376617,106162
2013-12-09,480.000000,488.225006,476.600006,483.375000,444.021820,321726
2013-12-10,482.000000,485.000000,474.000000,476.725006,437.913239,114530
2013-12-11,476.250000,479.424988,471.000000,475.274994,436.581238,88382
2013-12-12,474.500000,475.750000,470.000000,471.174988,432.815033,77490
2013-12-13,470.450012,476.250000,466.000000,474.049988,435.455994,107114
2013-12-16,475.750000,475.750000,462.549988,463.924988,426.155273,100312
2013-12-17,463.000000,469.700012,462.549988,465.850006,427.923553,60510
2013-12-18,465.950012,475.250000,463.500000,473.149994,434.629242,73604
2013-12-19,474.500000,477.500000,463.125000,468.924988,430.748230,91234
2013-12-20,469.250000,489.500000,465.000000,484.625000,445.170074,180614
2013-12-23,486.500000,489.000000,480.750000,482.500000,443.218048,95734
2013-12-24,482.500000,487.399994,477.225006,481.725006,442.506134,66634
2013-12-26,480.000000,484.500000,477.649994,479.549988,440.508209,88624
2013-12-27,478.750000,485.700012,476.475006,482.274994,443.011383,117546
2013-12-30,481.500000,486.250000,472.250000,474.750000,436.098999,141680
2013-12-31,476.500000,478.100006,470.000000,471.750000,433.343231,87092
2014-01-01,472.500000,476.100006,471.575012,473.799988,435.226318,163080
2014-01-02,473.500000,479.375000,465.000000,468.024994,429.921539,99856
2014-01-03,466.000000,466.000000,448.799988,450.024994,413.386963,223622
2014-01-06,455.000000,455.000000,444.000000,448.049988,411.572723,73386
2014-01-07,450.500000,453.674988,445.500000,451.575012,414.810791,119232
2014-01-08,453.924988,457.399994,449.500000,453.649994,416.716827,117216
2014-01-09,455.000000,458.774994,445.049988,446.750000,410.378601,108220
2014-01-10,447.000000,447.000000,432.725006,437.225006,401.629028,191486
2014-01-13,437.549988,445.475006,437.549988,444.524994,408.334747,67192
2014-01-14,445.950012,450.000000,441.600006,444.725006,408.518433,53780
2014-01-15,445.500000,452.500000,444.000000,451.524994,414.764832,168194
2014-01-16,453.424988,453.500000,444.750000,446.274994,409.942230,82468
2014-01-17,444.725006,452.500000,444.725006,449.225006,412.652100,116638
2014-01-20,448.500000,456.424988,446.000000,453.700012,416.762756,87430
2014-01-21,454.850006,460.000000,449.649994,452.350006,415.522675,1471726
2014-01-22,452.299988,458.549988,451.000000,458.024994,420.735657,193866
2014-01-23,458.000000,458.024994,443.600006,445.100006,408.862915,145012
2014-01-24,446.000000,446.200012,435.000000,442.625000,406.589417,882326
2014-01-27,432.500000,437.424988,429.500000,433.649994,398.345062,75852
2014-01-28,438.500000,439.750000,432.000000,436.725006,401.169739,128100
2014-01-29,439.000000,442.725006,429.649994,430.875000,395.796021,51752
2014-01-30,431.250000,438.500000,425.500000,434.649994,399.263641,72058
2014-01-31,434.000000,448.125000,434.000000,445.225006,408.977753,146960
2014-02-03,443.850006,445.500000,434.000000,442.500000,406.474579,168970
2014-02-04,440.000000,449.399994,423.500000,427.149994,392.374237,231764
2014-02-05,430.000000,439.899994,426.799988,437.875000,402.226105,119836
2014-02-06,438.500000,449.674988,434.000000,448.500000,411.986084,124670
2014-02-07,450.000000,451.475006,443.250000,447.774994,411.320099,103092
2014-02-10,448.000000,451.000000,443.350006,447.625000,411.182343,58496
2014-02-11,447.625000,451.000000,444.000000,447.725006,411.274170,44906
2014-02-12,450.000000,450.674988,445.500000,448.125000,411.641663,36400
2014-02-13,448.500000,455.375000,447.450012,453.325012,416.418274,117218
2014-02-14,453.549988,457.000000,443.575012,451.299988,414.558136,246260
2014-02-17,451.299988,468.000000,448.924988,464.075012,426.293091,217136
2014-02-18,468.000000,470.000000,462.500000,467.524994,429.462219,193660
2014-02-19,468.500000,473.625000,468.000000,470.274994,431.988342,111174
2014-02-20,469.000000,470.750000,463.250000,464.799988,426.959045,104008
2014-02-21,467.500000,469.375000,461.799988,464.600006,426.775360,142906
2014-02-24,465.000000,472.700012,464.649994,471.450012,433.067657,108794
2014-02-25,472.524994,474.975006,467.825012,471.774994,433.366211,130688
2014-02-26,468.024994,482.774994,468.024994,481.200012,442.023895,113506
2014-02-28,485.000000,487.500000,474.875000,486.725006,447.099121,130798
2014-03-03,486.950012,488.500000,474.524994,475.924988,437.178345,93198
2014-03-04,478.274994,482.725006,472.424988,477.875000,438.969604,101594
2014-03-05,477.875000,479.000000,470.350006,474.100006,435.501923,101800
2014-03-06,475.500000,480.500000,474.450012,477.524994,438.648041,122062
2014-03-07,479.075012,495.500000,476.000000,490.274994,450.360046,245560
2014-03-10,492.149994,509.575012,487.549988,507.049988,465.769348,398114
2014-03-11,501.850006,510.000000,492.924988,497.049988,456.583435,145558
2014-03-12,496.200012,498.549988,491.825012,495.524994,455.182617,621616
2014-03-13,495.000000,512.000000,495.000000,507.399994,466.090851,264992
2014-03-14,504.774994,517.500000,498.475006,512.875000,471.120117,163194
2014-03-18,512.500000,527.000000,503.000000,505.125000,464.001068,138010
2014-03-19,505.000000,510.325012,490.100006,491.049988,451.071960,172734
2014-03-20,490.049988,495.899994,486.424988,488.924988,449.119965,164046
2014-03-21,492.500000,495.000000,483.075012,485.000000,445.514496,110950
2014-03-22,null,null,null,null,null,null
2014-03-24,490.500000,497.500000,487.899994,493.250000,453.092865,92842
2014-03-25,490.750000,497.274994,486.100006,487.500000,447.811005,95296
2014-03-26,494.125000,494.125000,476.149994,479.549988,440.508209,201230
2014-03-27,481.350006,487.475006,479.299988,482.100006,442.850616,118798
2014-03-28,482.549988,487.000000,477.600006,483.625000,444.251495,175074
2014-03-31,487.500000,492.250000,483.649994,490.325012,450.406006,92118
2014-04-01,495.000000,501.600006,490.149994,499.024994,458.397675,280310
2014-04-02,501.000000,504.000000,496.274994,500.875000,460.097046,124602
2014-04-03,501.000000,504.725006,494.575012,503.125000,462.163910,111006
2014-04-04,502.500000,503.000000,495.899994,498.674988,458.076172,78900
2014-04-07,503.000000,507.500000,498.750000,504.950012,463.840332,129516
2014-04-09,505.000000,511.250000,505.000000,510.024994,468.502136,213168
2014-04-10,510.000000,513.000000,498.000000,510.350006,468.800690,297978
2014-04-11,510.000000,510.000000,499.024994,501.424988,460.602325,72596
2014-04-15,502.500000,502.500000,487.625000,491.674988,451.646057,110184
2014-04-16,494.450012,496.399994,482.350006,487.674988,447.971741,196844
2014-04-17,489.000000,499.899994,489.000000,498.674988,458.076172,82436
2014-04-21,499.500000,519.700012,496.250000,516.325012,474.289246,245592
2014-04-22,518.000000,522.500000,510.000000,512.150024,470.454132,75840
2014-04-23,515.174988,520.500000,512.349976,518.375000,476.172333,94720
2014-04-24,518.375000,518.375000,518.375000,518.375000,476.172333,0
2014-04-25,519.000000,539.000000,515.599976,535.125000,491.558716,249124
2014-04-28,525.000000,536.775024,525.000000,532.700012,489.331116,77410
2014-04-29,531.500000,540.000000,530.750000,532.500000,489.147400,82410
2014-04-30,533.500000,545.500000,532.549988,536.075012,492.431335,127320
2014-05-02,534.000000,534.000000,523.049988,528.275024,485.266357,277144
2014-05-05,527.900024,535.325012,525.099976,529.674988,486.552399,57524
