,Open,High,Low,Close,Adj Close,Volume,DPO,Low,Low,Low,Low,Low,Low,Total Market Value,Low,Total Market Value,Total Market Value,AORD_Close,DJI_Close,FCHIX_Close,FTSE_Close,GDAXI_Close,GSPC_Close,HSI_Close,KS11_Close,PSEIPS_Close,TWII_Close,NSEI_Close
2013-08-01,1326.0,1359.6,1322.25,1340.3,1340.0,797570.0,-330.7650000000003,1322.25,1322.25,1322.25,1322.25,1322.25,1322.25,15766296.0,1322.25,143920364.0,30154026.0,5047.1,15628.02,1.4244,6682.0,8410.73,1706.87,22088.79,1920.74,6661.44,8056.19,5727.85
2013-08-02,1358.0,1363.85,1327.65,1337.7,1341.0,360939.0,-326.4725000000003,1327.65,1327.65,1327.65,1327.65,1327.65,1327.65,15850380.0,1327.65,141004012.0,30844608.0,5098.7,15658.36,1.4175,6647.9,8406.94,1709.67,22190.97,1923.38,6533.95,8099.85,5677.9
2013-08-05,1345.25,1361.8,1332.05,1343.9,1341.1,178344.0,-316.11500000000046,1332.05,1332.05,1332.05,1332.05,1332.05,1332.05,15813252.0,1332.05,139411086.0,31211505.0,5093.8,15612.13,1.4175,6619.6,8398.38,1707.14,22222.01,1916.22,6509.73,8138.6,5685.4
2013-08-06,1330.0,1358.75,1309.25,1331.95,1332.0,301434.0,-277.37000000000035,1309.25,1309.25,1309.25,1309.25,1309.25,1309.25,15591576.0,1309.25,139537346.0,30753735.0,5088.0,15518.74,1.4175,6604.2,8299.73,1697.37,21923.7,1906.62,6420.78,8038.88,5542.25
2013-08-07,1345.0,1349.9,1302.0,1330.85,1326.25,456603.0,-266.7375000000004,1302.0,1302.0,1302.0,1302.0,1302.0,1302.0,15706236.0,1302.0,139058049.0,31549959.0,4996.6,15470.67,1.4175,6511.2,8260.48,1690.91,21588.84,1878.33,6420.79,7921.26,5519.1
2013-08-08,1331.1,1392.4,1331.1,1385.05,1385.4,1398921.0,-287.16250000000036,1331.1,1331.1,1331.1,1331.1,1331.1,1331.1,16288272.0,1331.1,139513229.0,31804805.0,5047.1,15498.32,1.4175,6529.7,8318.32,1697.48,21655.88,1883.97,6404.23,7907.64,5565.65
2013-08-12,1392.25,1409.0,1372.2,1380.2,1374.45,700028.0,-283.7750000000003,1372.2,1372.2,1372.2,1372.2,1372.2,1372.2,16365804.0,1372.2,140802911.0,32136105.0,5094.1,15419.68,1.4175,6574.3,8359.25,1689.47,22271.28,1884.83,6443.81,7903.35,5612.4
2013-08-13,1355.0,1412.85,1355.0,1396.95,1396.25,1031827.0,-224.14250000000038,1355.0,1355.0,1355.0,1355.0,1355.0,1355.0,16376724.0,1355.0,135720047.0,31346081.0,5141.6,15451.01,1.4175,6611.9,8415.76,1694.16,22541.13,1913.03,6554.62,7986.24,5699.3
2013-08-16,1389.15,1389.2,1317.15,1325.1,1320.0,1464791.0,-221.03750000000036,1317.15,1317.15,1317.15,1317.15,1317.15,1317.15,16681392.0,1317.15,140651184.0,31511731.0,5100.1,15081.47,1.4107,6500.0,8391.94,1655.83,22517.81,1920.11,6525.95,7924.97,5507.85
2013-08-20,1300.0,1306.7,1268.6,1297.9,1305.0,916913.0,-183.70250000000055,1268.6,1268.6,1268.6,1268.6,1268.6,1268.6,16658460.0,1268.6,144292639.0,30275727.0,5068.8,15002.99,1.4107,6453.5,8300.03,1652.35,21970.29,1887.85,6525.95,7832.62,5401.45
2013-08-22,1284.2,1299.0,1232.6,1285.7,1293.0,1030562.0,-137.45250000000033,1232.6,1232.6,1232.6,1232.6,1232.6,1232.6,16817892.0,1232.6,140954638.0,29829747.0,5066.7,14963.74,1.4039,6446.9,8397.89,1656.96,21895.4,1849.12,6136.73,7814.35,5408.45
2013-08-23,1299.9,1324.0,1266.05,1293.0,1297.0,621224.0,-131.3000000000004,1266.05,1266.05,1266.05,1266.05,1266.05,1266.05,16834272.0,1266.05,142623638.0,29829747.0,5115.2,15010.51,1.4107,6492.1,8416.99,1663.5,21863.51,1870.16,6161.21,7873.28,5471.75
