Date,FTSE_Open,FTSE_High,FTSE_Low,FTSE_Close,FTSE_Adj Close,FTSE_Volume
"Jun 24, 1987","2,276.70","2,292.40","2,276.70","2,284.00","2,284.00",-
"Jun 23, 1987","2,244.60","2,266.80","2,234.60","2,265.50","2,265.50",-
"Jun 22, 1987","2,266.10","2,272.60","2,244.60","2,244.60","2,244.60",-
"Jun 19, 1987","2,284.00","2,284.00","2,254.40","2,266.10","2,266.10",-
"Jun 18, 1987","2,319.00","2,319.00","2,275.20","2,293.20","2,293.20",-
"Jun 17, 1987","2,316.30","2,327.60","2,316.30","2,320.40","2,320.40",-
"Jun 16, 1987","2,307.60","2,309.30","2,282.30","2,309.00","2,309.00",-
"Jun 15, 1987","2,293.50","2,310.60","2,293.50","2,307.60","2,307.60",-
"Jun 12, 1987","2,257.20","2,296.40","2,257.20","2,289.50","2,289.50",-
"Jun 11, 1987","2,256.10","2,280.80","2,249.30","2,249.30","2,249.30",-
"Jun 10, 1987","2,265.20","2,266.80","2,248.90","2,256.10","2,256.10",-
"Jun 09, 1987","2,243.90","2,269.90","2,243.90","2,265.20","2,265.20",-
"Jun 08, 1987","2,228.80","2,230.40","2,214.40","2,228.40","2,228.40",-
"Jun 05, 1987","2,221.60","2,234.00","2,221.60","2,228.80","2,228.80",-
"Jun 04, 1987","2,235.40","2,239.30","2,202.20","2,214.20","2,214.20",-
"Jun 03, 1987","2,219.60","2,236.20","2,200.90","2,235.40","2,235.40",-
"Jun 02, 1987","2,228.20","2,248.80","2,214.50","2,219.60","2,219.60",-
"Jun 01, 1987","2,209.70","2,238.20","2,209.70","2,228.20","2,228.20",-
"May 29, 1987","2,177.50","2,206.30","2,177.50","2,203.00","2,203.00",-
"May 28, 1987","2,146.10","2,164.40","2,146.10","2,157.40","2,157.40",-
"May 27, 1987","2,153.40","2,158.10","2,140.20","2,145.70","2,145.70",-
"May 26, 1987","2,167.50","2,169.30","2,143.40","2,153.40","2,153.40",-
"May 25, 1987","2,167.50","2,167.50","2,167.50","2,167.50","2,167.50",-
"May 22, 1987","2,163.90","2,175.60","2,163.90","2,167.50","2,167.50",-
"May 21, 1987","2,174.00","2,180.60","2,153.20","2,153.70","2,153.70",-
"May 20, 1987","2,191.40","2,191.40","2,170.00","2,174.00","2,174.00",-
"May 19, 1987","2,197.50","2,216.60","2,197.50","2,214.30","2,214.30",-
"May 18, 1987","2,189.70","2,195.90","2,173.40","2,192.10","2,192.10",-
"May 15, 1987","2,182.90","2,202.40","2,182.90","2,189.70","2,189.70",-
"May 14, 1987","2,163.40","2,185.40","2,163.20","2,180.00","2,180.00",-
"May 13, 1987","2,161.50","2,168.90","2,161.50","2,163.40","2,163.40",-
"May 12, 1987","2,145.60","2,145.60","2,132.40","2,143.30","2,143.30",-
"May 11, 1987","2,156.20","2,183.90","2,156.20","2,163.30","2,163.30",-
"May 08, 1987","2,098.50","2,136.30","2,098.50","2,126.50","2,126.50",-
"May 07, 1987","2,086.50","2,103.00","2,077.50","2,077.90","2,077.90",-
"May 06, 1987","2,075.50","2,096.60","2,075.50","2,086.50","2,086.50",-
"May 05, 1987","2,068.50","2,073.90","2,058.80","2,065.10","2,065.10",-
"May 04, 1987","2,068.50","2,068.50","2,068.50","2,068.50","2,068.50",-
"May 01, 1987","2,061.70","2,074.70","2,061.70","2,068.50","2,068.50",-
"Apr 30, 1987","2,038.60","2,050.90","2,035.00","2,050.50","2,050.50",-
