Date,KLSE_Open,KLSE_High,KLSE_Low,KLSE_Close,KLSE_AdjClose,KLSE_Volume
"Sep 04, 2015","1,602.05","1,602.32","1,587.61","1,589.16","1,589.16","11,02,76,000"
"Sep 03, 2015","1,597.51","1,605.73","1,592.67","1,602.75","1,602.75","11,36,85,300"
"Sep 02, 2015","1,602.60","1,602.60","1,583.63","1,590.19","1,590.19","18,80,00,600"
"Sep 01, 2015","1,655.47","1,660.22","1,603.25","1,609.21","1,609.21","25,26,54,300"
"Aug 28, 2015","1,609.04","1,621.24","1,608.04","1,612.74","1,612.74","21,10,33,200"
"Aug 27, 2015","1,582.75","1,601.70","1,579.98","1,601.70","1,601.70","18,99,34,700"
"Aug 26, 2015","1,559.75","1,585.59","1,554.37","1,580.37","1,580.37","19,28,20,200"
"Aug 25, 2015","1,515.73","1,568.42","1,503.68","1,563.94","1,563.94","21,89,74,400"
"Aug 24, 2015","1,553.25","1,554.08","1,532.14","1,532.14","1,532.14","20,01,18,300"
"Aug 21, 2015","1,563.65","1,583.38","1,557.01","1,574.67","1,574.67","17,46,50,100"
"Aug 20, 2015","1,574.51","1,579.66","1,562.11","1,577.41","1,577.41","12,82,77,700"
"Aug 19, 2015","1,594.68","1,594.68","1,580.25","1,582.44","1,582.44","13,65,49,000"
"Aug 18, 2015","1,573.09","1,584.05","1,562.88","1,579.60","1,579.60","16,51,83,700"
"Aug 17, 2015","1,590.81","1,594.46","1,569.19","1,572.54","1,572.54","18,03,92,000"
"Aug 14, 2015","1,623.91","1,626.90","1,590.57","1,596.82","1,596.82","19,40,95,800"
"Aug 13, 2015","1,605.63","1,626.86","1,605.46","1,621.62","1,621.62","14,70,97,400"
"Aug 12, 2015","1,629.21","1,629.63","1,603.26","1,609.93","1,609.93","15,65,56,000"
"Aug 11, 2015","1,653.44","1,661.62","1,635.77","1,636.71","1,636.71","12,85,82,200"
"Aug 10, 2015","1,672.57","1,672.57","1,649.12","1,654.37","1,654.37","12,20,89,200"
"Aug 07, 2015","1,692.33","1,695.18","1,677.22","1,682.65","1,682.65","12,62,64,000"
"Aug 06, 2015","1,720.85","1,722.30","1,694.64","1,694.64","1,694.64","15,15,22,600"
"Aug 05, 2015","1,723.53","1,729.91","1,723.22","1,725.56","1,725.56","8,21,96,200"
"Aug 04, 2015","1,730.09","1,730.81","1,722.91","1,723.73","1,723.73","9,55,71,800"
"Aug 03, 2015","1,716.99","1,744.19","1,714.82","1,744.19","1,744.19","6,77,06,700"
"Jul 31, 2015","1,701.31","1,723.14","1,701.31","1,723.14","1,723.14","13,15,20,200"
"Jul 30, 2015","1,696.74","1,706.26","1,695.66","1,699.92","1,699.92","8,66,18,200"
"Jul 29, 2015","1,699.60","1,702.36","1,696.72","1,698.99","1,698.99","11,81,32,600"
"Jul 28, 2015","1,708.62","1,713.06","1,699.70","1,699.70","1,699.70","13,28,16,900"
"Jul 27, 2015","1,710.97","1,718.60","1,709.76","1,709.76","1,709.76","7,70,96,500"
"Jul 24, 2015","1,720.01","1,721.45","1,712.49","1,720.76","1,720.76","7,43,77,600"
"Jul 23, 2015","1,729.57","1,731.18","1,722.44","1,722.44","1,722.44","7,85,30,800"
"Jul 22, 2015","1,731.12","1,732.54","1,725.52","1,729.53","1,729.53","11,13,93,000"
"Jul 21, 2015","1,725.43","1,736.19","1,722.61","1,736.19","1,736.19","8,62,52,500"
"Jul 20, 2015","1,733.29","1,735.75","1,720.02","1,724.13","1,724.13","8,90,82,700"
"Jul 16, 2015","1,722.04","1,727.50","1,720.70","1,726.73","1,726.73","7,44,18,900"
"Jul 15, 2015","1,698.26","1,720.82","1,698.26","1,715.58","1,715.58","13,18,21,800"
"Jul 14, 2015","1,720.06","1,727.07","1,720.06","1,721.10","1,721.10","9,18,42,100"
"Jul 13, 2015","1,710.75","1,718.39","1,707.00","1,716.11","1,716.11","6,95,78,700"
"Jul 10, 2015","1,698.26","1,720.82","1,698.26","1,715.58","1,715.58","8,34,98,500"
"Jul 09, 2015","1,687.26","1,704.88","1,685.03","1,701.54","1,701.54","10,71,92,300"
"Jul 08, 2015","1,706.47","1,706.70","1,693.35","1,695.83","1,695.83","13,26,00,500"
"Jul 07, 2015","1,714.27","1,718.03","1,708.64","1,712.30","1,712.30","11,27,46,300"
"Jul 06, 2015","1,728.43","1,728.43","1,706.60","1,717.05","1,717.05","9,17,70,500"
"Jul 03, 2015","1,737.23","1,738.09","1,724.50","1,734.24","1,734.24","8,22,06,800"
"Jul 02, 2015","1,729.56","1,738.67","1,728.43","1,733.88","1,733.88","12,65,92,100"
"Jul 01, 2015","1,709.77","1,737.67","1,709.77","1,727.96","1,727.96","14,30,83,700"
"Jun 30, 2015","1,695.36","1,708.38","1,691.03","1,706.64","1,706.64","17,10,42,600"
"Jun 29, 2015","1,709.35","1,709.35","1,688.44","1,691.92","1,691.92","11,54,19,900"
"Jun 26, 2015","1,716.64","1,716.64","1,709.87","1,710.47","1,710.47","8,40,28,600"
"Jun 25, 2015","1,729.58","1,729.64","1,716.81","1,716.81","1,716.81","13,48,81,200"
"Jun 24, 2015","1,727.59","1,731.68","1,724.47","1,731.68","1,731.68","11,08,94,800"
"Jun 23, 2015","1,734.56","1,734.97","1,726.86","1,726.86","1,726.86","10,49,92,400"
"Jun 22, 2015","1,721.62","1,735.90","1,720.84","1,732.76","1,732.76","11,41,13,300"
"Jun 19, 2015","1,718.71","1,726.98","1,715.83","1,721.77","1,721.77","18,31,98,100"
"Jun 18, 2015","1,725.28","1,727.30","1,714.22","1,718.12","1,718.12","11,78,82,100"
"Jun 17, 2015","1,722.71","1,728.06","1,721.23","1,726.86","1,726.86","10,71,86,100"
"Jun 16, 2015","1,721.16","1,726.78","1,718.44","1,722.24","1,722.24","9,16,85,000"
"Jun 15, 2015","1,733.28","1,734.40","1,722.16","1,722.16","1,722.16","12,65,58,200"
"Jun 12, 2015","1,740.99","1,740.99","1,732.59","1,734.37","1,734.37","7,46,02,300"
"Jun 11, 2015","1,744.77","1,744.77","1,733.17","1,734.76","1,734.76","12,03,46,500"
"Jun 10, 2015","1,730.94","1,739.48","1,730.75","1,735.63","1,735.63","10,87,81,500"
"Jun 09, 2015","1,737.53","1,738.76","1,729.05","1,729.05","1,729.05","9,42,92,600"
"Jun 08, 2015","1,736.07","1,741.11","1,727.01","1,739.45","1,739.45","8,66,10,500"
"Jun 05, 2015","1,743.16","1,746.28","1,737.88","1,745.33","1,745.33","7,80,44,000"
"Jun 04, 2015","1,742.02","1,749.20","1,739.92","1,741.48","1,741.48","11,45,33,700"
"Jun 03, 2015","1,748.59","1,750.68","1,743.12","1,749.17","1,749.17","14,00,38,900"
"Jun 02, 2015","1,743.48","1,746.49","1,736.57","1,741.37","1,741.37","14,70,77,200"
"Jun 01, 2015","1,751.82","1,752.08","1,732.27","1,743.41","1,743.41","12,92,54,300"
"May 29, 2015","1,751.35","1,755.82","1,746.06","1,747.52","1,747.52","25,44,39,600"
"May 28, 2015","1,757.91","1,759.43","1,750.72","1,755.56","1,755.56","12,19,35,400"
"May 27, 2015","1,758.35","1,758.35","1,749.78","1,755.05","1,755.05","16,37,51,900"
"May 26, 2015","1,767.04","1,776.07","1,755.09","1,764.07","1,764.07","13,06,27,500"
"May 25, 2015","1,787.02","1,787.64","1,764.63","1,767.38","1,767.38","10,18,42,300"
"May 22, 2015","1,798.33","1,798.46","1,780.11","1,787.50","1,787.50","13,67,64,900"
"May 21, 2015","1,810.37","1,810.71","1,793.34","1,795.04","1,795.04","14,31,52,100"
"May 20, 2015","1,812.07","1,812.59","1,807.95","1,810.11","1,810.11","10,56,10,700"
"May 19, 2015","1,819.02","1,819.58","1,808.07","1,809.72","1,809.72","9,33,33,500"
"May 18, 2015","1,813.52","1,823.50","1,808.79","1,823.50","1,823.50","8,16,19,800"
"May 15, 2015","1,806.61","1,811.92","1,802.05","1,811.92","1,811.92","5,69,89,200"
"May 14, 2015","1,806.12","1,807.90","1,803.63","1,805.87","1,805.87","11,36,80,700"
"May 13, 2015","1,801.08","1,803.68","1,795.16","1,803.02","1,803.02","12,97,02,200"
"May 12, 2015","1,798.64","1,802.54","1,797.01","1,798.61","1,798.61","10,43,48,200"
"May 11, 2015","1,809.22","1,814.24","1,803.57","1,805.49","1,805.49","9,38,24,400"
"May 08, 2015","1,806.32","1,814.28","1,805.35","1,807.65","1,807.65","12,94,89,800"
"May 07, 2015","1,808.32","1,818.79","1,805.10","1,805.10","1,805.10","14,06,57,900"
"May 06, 2015","1,824.21","1,824.21","1,813.01","1,820.97","1,820.97","11,82,04,400"
"May 05, 2015","1,830.32","1,830.90","1,818.16","1,827.42","1,827.42","13,66,79,200"
"Apr 30, 2015","1,840.29","1,841.06","1,818.27","1,818.27","1,818.27","16,19,26,000"
"Apr 29, 2015","1,855.10","1,855.46","1,842.84","1,842.93","1,842.93","12,76,80,900"
"Apr 28, 2015","1,861.59","1,862.14","1,850.04","1,855.06","1,855.06","11,22,89,200"
"Apr 27, 2015","1,864.69","1,867.53","1,859.18","1,859.58","1,859.58","11,46,74,400"
"Apr 24, 2015","1,852.99","1,862.58","1,849.71","1,862.58","1,862.58","11,56,08,700"
"Apr 23, 2015","1,848.29","1,855.70","1,846.08","1,846.08","1,846.08","8,04,61,600"
"Apr 22, 2015","1,863.61","1,863.61","1,853.72","1,854.77","1,854.77","10,22,13,800"
"Apr 21, 2015","1,850.71","1,862.80","1,850.35","1,862.80","1,862.80","12,85,94,500"
"Apr 20, 2015","1,844.25","1,848.97","1,841.10","1,848.66","1,848.66","9,75,23,900"
"Apr 17, 2015","1,848.09","1,852.95","1,845.09","1,845.86","1,845.86","12,48,15,300"
"Apr 16, 2015","1,842.04","1,849.22","1,838.27","1,847.94","1,847.94","13,30,56,200"
"Apr 15, 2015","1,837.46","1,846.06","1,836.37","1,840.13","1,840.13","15,60,91,200"
"Apr 14, 2015","1,845.51","1,846.31","1,837.25","1,839.61","1,839.61","12,06,09,300"
"Apr 13, 2015","1,842.89","1,847.50","1,840.91","1,842.08","1,842.08","9,95,04,500"
"Apr 10, 2015","1,846.85","1,849.78","1,840.77","1,844.31","1,844.31","9,79,09,400"
"Apr 09, 2015","1,848.43","1,849.77","1,843.99","1,849.39","1,849.39","9,76,36,800"
"Apr 08, 2015","1,852.49","1,853.21","1,848.00","1,850.31","1,850.31","10,66,68,700"
"Apr 07, 2015","1,843.18","1,856.51","1,843.18","1,856.51","1,856.51","12,13,85,900"
"Apr 06, 2015","1,838.30","1,844.83","1,837.51","1,842.94","1,842.94","8,97,28,300"
"Apr 03, 2015","1,831.34","1,836.82","1,829.74","1,834.52","1,834.52","6,64,70,200"
"Apr 02, 2015","1,827.66","1,832.37","1,826.28","1,831.97","1,831.97","12,37,04,300"
"Apr 01, 2015","1,831.35","1,831.35","1,823.61","1,826.31","1,826.31","8,33,27,200"
"Mar 31, 2015","1,828.88","1,832.85","1,825.30","1,830.78","1,830.78","16,68,08,200"
"Mar 30, 2015","1,815.52","1,825.76","1,815.02","1,821.83","1,821.83","9,73,86,800"
"Mar 27, 2015","1,815.15","1,818.31","1,813.30","1,813.37","1,813.37","11,82,34,000"
"Mar 26, 2015","1,816.85","1,820.52","1,815.41","1,818.42","1,818.42","9,91,62,400"
"Mar 25, 2015","1,812.43","1,823.19","1,812.18","1,819.10","1,819.10","12,37,98,700"
"Mar 24, 2015","1,798.82","1,814.54","1,798.24","1,814.04","1,814.04","11,73,42,000"
"Mar 23, 2015","1,801.23","1,811.08","1,795.85","1,795.85","1,795.85","10,32,09,900"
"Mar 20, 2015","1,803.56","1,806.90","1,798.74","1,803.65","1,803.65","20,63,31,900"
"Mar 19, 2015","1,798.22","1,815.71","1,798.03","1,809.13","1,809.13","10,94,56,400"
"Mar 18, 2015","1,790.32","1,800.83","1,787.77","1,797.57","1,797.57","11,55,89,100"
"Mar 17, 2015","1,779.96","1,789.40","1,779.96","1,787.87","1,787.87","9,47,63,700"
"Mar 16, 2015","1,777.28","1,787.29","1,774.30","1,780.54","1,780.54","10,25,30,900"
"Mar 13, 2015","1,784.98","1,789.36","1,781.75","1,781.75","1,781.75","9,04,12,600"
"Mar 12, 2015","1,780.75","1,789.92","1,780.65","1,786.87","1,786.87","12,64,30,200"
"Mar 11, 2015","1,783.47","1,787.23","1,774.97","1,778.16","1,778.16","14,86,43,300"
"Mar 10, 2015","1,794.82","1,799.05","1,789.73","1,789.73","1,789.73","15,46,77,800"
"Mar 09, 2015","1,790.59","1,795.76","1,778.99","1,791.74","1,791.74","15,80,47,500"
"Mar 06, 2015","1,804.86","1,809.65","1,799.80","1,806.96","1,806.96","16,14,29,300"
"Mar 05, 2015","1,819.66","1,819.67","1,805.80","1,806.09","1,806.09","20,10,60,200"
